('imageNet6', {'Total Match': 3863, 'Recall': 0.96575, 'Search Time': 18.051088, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 49.20094})
('imageNet7', {'Total Match': 3863, 'Recall': 0.96575, 'Search Time': 20.189367999999995, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 49.545122})
('imageNet8', {'Total Match': 2126, 'Recall': 0.5315, 'Search Time': 1.0403310000000001, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 63.988684})
('imageNet9', {'Total Match': 1850, 'Recall': 0.4625, 'Search Time': 0.7180910000000006, 'Given n*k': 4000, 'Found n*k': 4000, 'unique neighbors': 4000, 'issue': False, 'Total Indexing Count': 68.908829})
('lastfm1', {'Total Match': 8888, 'Recall': 0.8888, 'Search Time': 0.526104999999997, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.645511})
('lastfm10', {'Total Match': 7638, 'Recall': 0.7638, 'Search Time': 0.24621000000000026, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.308429})
('lastfm11', {'Total Match': 5545, 'Recall': 0.5545, 'Search Time': 0.13335300000000022, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.721381})
('lastfm2', {'Total Match': 9526, 'Recall': 0.9526, 'Search Time': 0.7348319999999997, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.782493})
('lastfm3', {'Total Match': 9890, 'Recall': 0.989, 'Search Time': 1.4015359999999966, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.865295})
('lastfm4', {'Total Match': 9917, 'Recall': 0.9917, 'Search Time': 2.906650000000005, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.326785})
('lastfm5', {'Total Match': 9917, 'Recall': 0.9917, 'Search Time': 4.075512000000012, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 2.990906})
('lastfm6', {'Total Match': 9917, 'Recall': 0.9917, 'Search Time': 3.7784960000000125, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.626233})
('lastfm7', {'Total Match': 9917, 'Recall': 0.9917, 'Search Time': 3.9509080000000143, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 3.622662})
('lastfm8', {'Total Match': 8617, 'Recall': 0.8617, 'Search Time': 0.3793089999999975, 'Given n*k': 10000, 'Found n*k': 10000, 'unique neighbors': 10000, 'issue': False, 'Total Indexing Count': 4.435411})
